rank,replicate,error
1,0,0.9804065791046601
1,1,0.9804065608709258
1,2,0.9804065597645232
3,0,0.971026036143784
3,1,0.971025912799061
3,2,0.9710260179317272
5,0,0.9645729727687412
5,1,0.964571988547832
5,2,0.96457215646285
7,0,0.9596275145142908
7,1,0.9595380894230212
7,2,0.9596462347456632
9,0,0.9552164148134887
9,1,0.9546359789980389
9,2,0.9547493133014527
11,0,0.9511694798020499
11,1,0.9507964321146196
11,2,0.9513477366905685
13,0,0.9469086905319052
13,1,0.9478967835256332
13,2,0.9470827367782845
15,0,0.9435962836185585
15,1,0.943927050883785
15,2,0.9433653926422526
17,0,0.9403979904104298
17,1,0.9401039328877969
17,2,0.9401139540434296
19,0,0.937499470502258
19,1,0.9377694902432179
19,2,0.9373003664398327
21,0,0.9343562863604226
21,1,0.934465652170823
21,2,0.9342788793861201
23,0,0.9318082159373288
23,1,0.931520390252409
23,2,0.9309827691162251
25,0,0.9290034463574735
25,1,0.9299350410173108
25,2,0.9288506181546016
27,0,0.9262261594735197
27,1,0.926870205288
27,2,0.9272567941448843
29,0,0.9243599964398684
29,1,0.9235315972251555
29,2,0.9242641495651976
31,0,0.9213607034763731
31,1,0.9221912883741377
31,2,0.9222363807046711
33,0,0.9192014829194152
33,1,0.9196706298791216
33,2,0.9201213585607029
35,0,0.9172772093054045
35,1,0.9165232011797869
35,2,0.9175447934774356
37,0,0.9149167049126244
37,1,0.9147392195317362
37,2,0.915658094031475
39,0,0.9142913036904216
39,1,0.913235196969009
39,2,0.9123684236614705
41,0,0.9113243493877646
41,1,0.9104614385241421
41,2,0.9108043224594672
43,0,0.9093042209499936
43,1,0.9091243941850612
43,2,0.9087836051270517
45,0,0.9072946684786908
45,1,0.9061705856960707
45,2,0.9070211678386455
47,0,0.905024950953717
47,1,0.9051364618083085
47,2,0.9044954879923365
49,0,0.9032159311877882
49,1,0.9024442159054041
49,2,0.9027276643196521
