model,feature_set,feature,importance
LR,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.7674322966614399
LR,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.7197317742161553
LR,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.9571825042660476
LR,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.8737323937351148
LR,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.7997118461837073
RF,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.0
RF,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.0
RF,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.0
RF,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.0
RF,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.0
XGB,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.0
XGB,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.0
XGB,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.0
XGB,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.0
XGB,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.0
TNET,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.06647436550566545
TNET,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.11978083186364992
TNET,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.005403294506351693
TNET,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.13797934011989998
TNET,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.0740330439906738
EBM,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.011243210333886913
EBM,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.009881010106639757
EBM,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.016272215429369245
EBM,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.018710901353026867
EBM,20_latest+demo,latest_rx_CLOPIDOGREL 75 MG TABLET,0.02285965770823261
LR,20_latest+demo,latest_WEIGHT_KG,0.0009905328429909732
LR,20_latest+demo,latest_WEIGHT_KG,0.002253384851663668
LR,20_latest+demo,latest_WEIGHT_KG,0.0010577971452934466
LR,20_latest+demo,latest_WEIGHT_KG,7.157625971174531e-05
LR,20_latest+demo,latest_WEIGHT_KG,0.00032560968818262014
RF,20_latest+demo,latest_WEIGHT_KG,0.12994906930921613
RF,20_latest+demo,latest_WEIGHT_KG,0.10756143382525087
RF,20_latest+demo,latest_WEIGHT_KG,0.11405577122478504
RF,20_latest+demo,latest_WEIGHT_KG,0.08443617596677655
RF,20_latest+demo,latest_WEIGHT_KG,0.07358791687639418
XGB,20_latest+demo,latest_WEIGHT_KG,0.17926259338855743
XGB,20_latest+demo,latest_WEIGHT_KG,0.18450643122196198
XGB,20_latest+demo,latest_WEIGHT_KG,0.176272913813591
XGB,20_latest+demo,latest_WEIGHT_KG,0.1834355741739273
XGB,20_latest+demo,latest_WEIGHT_KG,0.1924680918455124
TNET,20_latest+demo,latest_WEIGHT_KG,0.0003872942624906638
TNET,20_latest+demo,latest_WEIGHT_KG,0.14392950297048457
TNET,20_latest+demo,latest_WEIGHT_KG,0.0011797860479213957
TNET,20_latest+demo,latest_WEIGHT_KG,0.07133604916858356
TNET,20_latest+demo,latest_WEIGHT_KG,0.016312418071349703
EBM,20_latest+demo,latest_WEIGHT_KG,0.010550758561221835
EBM,20_latest+demo,latest_WEIGHT_KG,0.009968956646065133
EBM,20_latest+demo,latest_WEIGHT_KG,0.018948194272578562
EBM,20_latest+demo,latest_WEIGHT_KG,0.017611258820838138
EBM,20_latest+demo,latest_WEIGHT_KG,0.018275567877411577
LR,20_latest+demo,latest_dx_G25,0.07577275468785233
LR,20_latest+demo,latest_dx_G25,0.5003969048289924
LR,20_latest+demo,latest_dx_G25,0.7060036779846818
LR,20_latest+demo,latest_dx_G25,0.3648262007350672
LR,20_latest+demo,latest_dx_G25,0.23695033047101968
RF,20_latest+demo,latest_dx_G25,0.0
RF,20_latest+demo,latest_dx_G25,0.0
RF,20_latest+demo,latest_dx_G25,0.0
RF,20_latest+demo,latest_dx_G25,0.0
RF,20_latest+demo,latest_dx_G25,0.0
XGB,20_latest+demo,latest_dx_G25,0.0
XGB,20_latest+demo,latest_dx_G25,0.0
XGB,20_latest+demo,latest_dx_G25,0.0
XGB,20_latest+demo,latest_dx_G25,0.0
XGB,20_latest+demo,latest_dx_G25,0.0
TNET,20_latest+demo,latest_dx_G25,0.00011592665771297614
TNET,20_latest+demo,latest_dx_G25,0.0010094262843929923
TNET,20_latest+demo,latest_dx_G25,9.671927186894849e-08
TNET,20_latest+demo,latest_dx_G25,0.04105225638529997
TNET,20_latest+demo,latest_dx_G25,0.0
EBM,20_latest+demo,latest_dx_G25,0.000256599804027633
EBM,20_latest+demo,latest_dx_G25,0.0012373233719478603
EBM,20_latest+demo,latest_dx_G25,0.001266556920976092
EBM,20_latest+demo,latest_dx_G25,0.0012989071710974884
EBM,20_latest+demo,latest_dx_G25,0.0018248180483271183
LR,20_latest+demo,FAMILY_CARDIAC_HX,0.40087726929502177
LR,20_latest+demo,FAMILY_CARDIAC_HX,0.3709629578597595
LR,20_latest+demo,FAMILY_CARDIAC_HX,0.4897927884649714
LR,20_latest+demo,FAMILY_CARDIAC_HX,0.47052811939281625
LR,20_latest+demo,FAMILY_CARDIAC_HX,0.4323848179926488
RF,20_latest+demo,FAMILY_CARDIAC_HX,0.22300639648957926
RF,20_latest+demo,FAMILY_CARDIAC_HX,0.21151289737875303
RF,20_latest+demo,FAMILY_CARDIAC_HX,0.2388770241185086
RF,20_latest+demo,FAMILY_CARDIAC_HX,0.22023544995673966
RF,20_latest+demo,FAMILY_CARDIAC_HX,0.15836375672877392
XGB,20_latest+demo,FAMILY_CARDIAC_HX,0.13653945922851562
XGB,20_latest+demo,FAMILY_CARDIAC_HX,0.12607993185520172
XGB,20_latest+demo,FAMILY_CARDIAC_HX,0.1468340903520584
XGB,20_latest+demo,FAMILY_CARDIAC_HX,0.11322179436683655
XGB,20_latest+demo,FAMILY_CARDIAC_HX,0.11278887093067169
TNET,20_latest+demo,FAMILY_CARDIAC_HX,0.2048364927375847
TNET,20_latest+demo,FAMILY_CARDIAC_HX,0.11125451291511883
TNET,20_latest+demo,FAMILY_CARDIAC_HX,0.20478793186766708
TNET,20_latest+demo,FAMILY_CARDIAC_HX,0.09845180591354187
TNET,20_latest+demo,FAMILY_CARDIAC_HX,0.22377030622450597
EBM,20_latest+demo,FAMILY_CARDIAC_HX,0.030016568598126844
EBM,20_latest+demo,FAMILY_CARDIAC_HX,0.02881093496888084
EBM,20_latest+demo,FAMILY_CARDIAC_HX,0.045869146719322865
EBM,20_latest+demo,FAMILY_CARDIAC_HX,0.05427630361807877
EBM,20_latest+demo,FAMILY_CARDIAC_HX,0.06611185450353867
LR,20_latest+demo,latest_dx_R94,0.41243648080440204
LR,20_latest+demo,latest_dx_R94,0.2867493372718224
LR,20_latest+demo,latest_dx_R94,0.5589803271922512
LR,20_latest+demo,latest_dx_R94,0.5874453264489738
LR,20_latest+demo,latest_dx_R94,0.48076494920633334
RF,20_latest+demo,latest_dx_R94,0.0
RF,20_latest+demo,latest_dx_R94,0.0
RF,20_latest+demo,latest_dx_R94,0.0
RF,20_latest+demo,latest_dx_R94,0.0
RF,20_latest+demo,latest_dx_R94,0.0
XGB,20_latest+demo,latest_dx_R94,0.0
XGB,20_latest+demo,latest_dx_R94,0.0
XGB,20_latest+demo,latest_dx_R94,0.0
XGB,20_latest+demo,latest_dx_R94,0.0
XGB,20_latest+demo,latest_dx_R94,0.0
TNET,20_latest+demo,latest_dx_R94,0.03578574212471498
TNET,20_latest+demo,latest_dx_R94,0.04297306511648688
TNET,20_latest+demo,latest_dx_R94,0.04443149884331901
TNET,20_latest+demo,latest_dx_R94,0.045944138209369476
TNET,20_latest+demo,latest_dx_R94,0.042363637827990845
EBM,20_latest+demo,latest_dx_R94,0.003456700140173851
EBM,20_latest+demo,latest_dx_R94,0.00275302099235264
EBM,20_latest+demo,latest_dx_R94,0.006441983490529603
EBM,20_latest+demo,latest_dx_R94,0.008207412921905428
EBM,20_latest+demo,latest_dx_R94,0.009982838346435693
LR,20_latest+demo,latest_SMOKING_STATUS_Never,0.1246077054082147
LR,20_latest+demo,latest_SMOKING_STATUS_Never,0.17344187816105178
LR,20_latest+demo,latest_SMOKING_STATUS_Never,0.059028532492896635
LR,20_latest+demo,latest_SMOKING_STATUS_Never,0.22375544512811799
LR,20_latest+demo,latest_SMOKING_STATUS_Never,0.2940129893826935
RF,20_latest+demo,latest_SMOKING_STATUS_Never,0.07505368264849095
RF,20_latest+demo,latest_SMOKING_STATUS_Never,0.11603192919467277
RF,20_latest+demo,latest_SMOKING_STATUS_Never,0.056851930681368144
RF,20_latest+demo,latest_SMOKING_STATUS_Never,0.12478028841285248
RF,20_latest+demo,latest_SMOKING_STATUS_Never,0.11838377041607652
XGB,20_latest+demo,latest_SMOKING_STATUS_Never,0.10006651282310486
XGB,20_latest+demo,latest_SMOKING_STATUS_Never,0.10482403635978699
XGB,20_latest+demo,latest_SMOKING_STATUS_Never,0.11319700628519058
XGB,20_latest+demo,latest_SMOKING_STATUS_Never,0.11791548132896423
XGB,20_latest+demo,latest_SMOKING_STATUS_Never,0.08972261846065521
TNET,20_latest+demo,latest_SMOKING_STATUS_Never,0.13380576222172272
TNET,20_latest+demo,latest_SMOKING_STATUS_Never,0.000243540590966292
TNET,20_latest+demo,latest_SMOKING_STATUS_Never,0.05696808972183087
TNET,20_latest+demo,latest_SMOKING_STATUS_Never,0.09611144015659306
TNET,20_latest+demo,latest_SMOKING_STATUS_Never,0.06401456669465158
EBM,20_latest+demo,latest_SMOKING_STATUS_Never,0.015837385153448843
EBM,20_latest+demo,latest_SMOKING_STATUS_Never,0.020535327254004067
EBM,20_latest+demo,latest_SMOKING_STATUS_Never,0.018194246038155074
EBM,20_latest+demo,latest_SMOKING_STATUS_Never,0.035808353985255434
EBM,20_latest+demo,latest_SMOKING_STATUS_Never,0.048854337963289245
LR,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.5134638588917593
LR,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.5214849111348399
LR,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.7008425370721051
LR,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.5446374908369229
