rank,replicate,error
1,0,0.9557859274726205
1,1,0.9557859336067854
1,2,0.9557859394241616
3,0,0.939954211295605
3,1,0.9399519601815839
3,2,0.9400988394196123
5,0,0.92951884406839
5,1,0.9301744038997257
5,2,0.9295194559633216
7,0,0.9232522303463504
7,1,0.9214838356646036
7,2,0.9214842991560189
9,0,0.9151832463762719
9,1,0.9160032288291091
9,2,0.9154436393008437
11,0,0.9114667476644347
11,1,0.9099725105465772
11,2,0.9090325953273916
13,0,0.9058529022931625
13,1,0.9052572022270206
13,2,0.9051251451440177
15,0,0.9015597173309225
15,1,0.9002564127366722
15,2,0.8997824160681038
17,0,0.8955716549471735
17,1,0.8968028744953906
17,2,0.8975143748432023
19,0,0.8935457441003628
19,1,0.8929923293619918
19,2,0.8931300884915505
21,0,0.890475246861412
21,1,0.889055408585903
21,2,0.8896490958581602
23,0,0.8864626559495695
23,1,0.8862417433214108
23,2,0.8864741619338988
25,0,0.8835778681165626
25,1,0.8837648928634159
25,2,0.8849073123242951
27,0,0.8806841851338424
27,1,0.8805686826304358
27,2,0.8813241920380162
29,0,0.8774379990663497
29,1,0.8785786522363339
29,2,0.8777388074517637
31,0,0.874926383332961
31,1,0.8765006078432356
31,2,0.8759114045621722
33,0,0.8735201612250446
33,1,0.8735138073740552
33,2,0.8730478303662444
35,0,0.8716664056603406
35,1,0.8721005047421183
35,2,0.8707971458748484
37,0,0.8686981223357911
37,1,0.8689002468219448
37,2,0.8688797447646408
39,0,0.8663140106477433
39,1,0.8667758647155699
39,2,0.8672473625427656
41,0,0.8648619492272394
41,1,0.8649111174793066
41,2,0.8641401303112058
43,0,0.8624562807391015
43,1,0.8641623877076047
43,2,0.865181707584914
45,0,0.8609579781034384
45,1,0.8612603205893588
45,2,0.8607515820864673
47,0,0.8593242918506182
47,1,0.8589104263931902
47,2,0.8592937075741336
49,0,0.857883059392016
49,1,0.8597118236459137
49,2,0.8587261167716647
