feature,factor,weight
"Ferritin_(0.499, 32.54]",0,0.0007428426358751996
"Ferritin_(32.54, 75.58]",0,0.0017927757319743524
"Ferritin_(75.58, 137.32]",0,0.0014668846543960299
"Ferritin_(137.32, 297.4]",0,0.0007281495372785864
"Ferritin_(297.4, 7385.1]",0,0.0004226382581600705
"Phosphorus_(1.0990000000000002, 3.1]",0,0.0005916870563319997
"Phosphorus_(3.1, 3.5]",0,0.00036812586505733297
"Phosphorus_(3.5, 3.8]",0,0.0003252437545828293
"Phosphorus_(3.8, 4.2]",0,0.00025243309660311265
"Phosphorus_(4.2, 9.4]",0,0.0002165342025873665
"Bilirubin, Total_(0.099, 0.3]",0,0.0067216921788023284
"Bilirubin, Total_(0.3, 0.5]",0,0.01150870422748863
"Bilirubin, Total_(0.5, 0.6]",0,0.00411865212996051
"Bilirubin, Total_(0.6, 0.8]",0,0.004508322466158969
"Bilirubin, Total_(0.8, 30.9]",0,0.0047589335666982065
"Chloride_(69.999, 103.0]",0,0.011335835318001973
"Chloride_(103.0, 104.0]",0,0.005346986472430494
"Chloride_(104.0, 106.0]",0,0.010798318293269485
"Chloride_(106.0, 107.0]",0,0.004491704090204002
"Chloride_(107.0, 122.0]",0,0.007962827793377616
"Sodium_(106.999, 138.0]",0,0.006821686091828402
"Sodium_(138.0, 140.0]",0,0.015061839019061475
"Sodium_(140.0, 141.0]",0,0.0076611793562616996
"Sodium_(141.0, 142.0]",0,0.005188311355841854
"Sodium_(142.0, 150.0]",0,0.0054400242279223745
"Hemoglobin_(5.699, 12.1]",0,0.005544155106756838
"Hemoglobin_(12.1, 13.2]",0,0.006702090895890841
"Hemoglobin_(13.2, 14.1]",0,0.01007243941519025
"Hemoglobin_(14.1, 15.1]",0,0.009641602591672339
"Hemoglobin_(15.1, 22.4]",0,0.006981492142160378
"Absolute Neutrophils_(-0.001, 3.0]",0,9.883358246760153e-06
"Absolute Neutrophils_(3.0, 3.992]",0,0.00017759125778635273
"Absolute Neutrophils_(3.992, 5.6]",0,3.598708940781893e-05
"Absolute Neutrophils_(5.6, 9.422]",0,0.0005461252869000657
"Absolute Neutrophils_(9.422, 14240.0]",0,0.0003610550793853839
"Tsh_(0.069, 0.9]",0,0.00013016883863284503
"Tsh_(0.9, 1.38]",0,0.0
"Tsh_(1.38, 2.08]",0,0.0
"Tsh_(2.08, 3.1]",0,0.0
"Tsh_(3.1, 17.32]",0,0.0
"Progranulocytes._(-0.001, 3.0]",0,0.0003619179028139141
"Monocyte % (Coulter)_(-0.001, 6.4]",0,0.006405259949335357
"Monocyte % (Coulter)_(6.4, 7.8]",0,0.005730928057093546
"Monocyte % (Coulter)_(7.8, 9.1]",0,0.004019495628552462
"Monocyte % (Coulter)_(9.1, 10.9]",0,0.006621251484317302
"Monocyte % (Coulter)_(10.9, 59.0]",0,0.004431217794783916
"Red Blood Cell Count_(1.8690000000000002, 4.02]",0,0.005570451823374039
"Red Blood Cell Count_(4.02, 4.39]",0,0.007406098037764999
"Red Blood Cell Count_(4.39, 4.67]",0,0.008316022823212409
"Red Blood Cell Count_(4.67, 4.99]",0,0.010612659467632188
"Red Blood Cell Count_(4.99, 7.46]",0,0.00708108681022186
"Tsh-3Rd Generation (Sstsh)_(0.009000000000000001, 0.94]",0,0.002758768559351842
"Tsh-3Rd Generation (Sstsh)_(0.94, 1.512]",0,0.0029911969955214116
"Tsh-3Rd Generation (Sstsh)_(1.512, 2.07]",0,0.0022099972500464696
"Tsh-3Rd Generation (Sstsh)_(2.07, 3.08]",0,0.0018551365126219174
"Tsh-3Rd Generation (Sstsh)_(3.08, 142.3]",0,0.0029797335582096704
"Glucose_(36.999, 87.0]",0,0.008523900350156714
"Glucose_(87.0, 95.0]",0,0.009403555410506794
"Glucose_(95.0, 104.0]",0,0.008539017015749883
"Glucose_(104.0, 127.0]",0,0.007432506724970499
"Glucose_(127.0, 650.0]",0,0.006309779626388556
"Non-Hdl Cholesterol_(51.999, 92.0]",0,0.0
"Non-Hdl Cholesterol_(92.0, 113.0]",0,0.0
"Non-Hdl Cholesterol_(113.0, 131.0]",0,0.0
"Non-Hdl Cholesterol_(131.0, 161.0]",0,0.0
"Non-Hdl Cholesterol_(161.0, 276.0]",0,0.0
"Protein_(3.1990000000000003, 6.5]",0,0.006441336227870986
"Protein_(6.5, 6.8]",0,0.005780074589443684
"Protein_(6.8, 7.1]",0,0.006107797348673862
"Protein_(7.1, 7.4]",0,0.007062894690713031
"Protein_(7.4, 10.7]",0,0.006186941595069723
"Platelet Count_(0.999, 176.0]",0,0.006131327656148309
"Platelet Count_(176.0, 213.0]",0,0.006731593721091115
"Platelet Count_(213.0, 247.0]",0,0.010088587332670979
"Platelet Count_(247.0, 290.0]",0,0.009908924367788131
"Platelet Count_(290.0, 856.0]",0,0.006851414398763641
"Basophils_(-0.001, 0.3]",0,0.011006234546597033
"Basophils_(0.3, 0.4]",0,0.0036271283229296603
"Basophils_(0.4, 0.6]",0,0.005878111234621114
"Basophils_(0.6, 0.8]",0,0.003546606321772914
"Basophils_(0.8, 15.0]",0,0.003221100073748931
"Absolute Basophils_(-0.001, 0.07]",0,0.0006006587410072948
"Absolute Basophils_(0.07, 0.1]",0,0.00035777049358961193
"Absolute Basophils_(0.1, 97.0]",0,0.00020114140389894915
"Absolute Eosinophils_(-0.001, 0.1]",0,0.0005331128854222661
"Absolute Eosinophils_(0.1, 0.12]",0,0.00010733794593940881
"Absolute Eosinophils_(0.12, 0.2]",0,0.00023710320566507507
"Absolute Eosinophils_(0.2, 0.4]",0,0.00013000282557810693
"Absolute Eosinophils_(0.4, 9342.0]",0,0.00023173162842130837
"Absolute Monocytes_(-0.001, 0.4]",0,0.00015253076608178756
"Absolute Monocytes_(0.4, 0.56]",0,0.00018434151236882538
"Absolute Monocytes_(0.56, 0.7]",0,0.00014265543102809388
"Absolute Monocytes_(0.7, 1.1]",0,0.00033805121097350523
"Absolute Monocytes_(1.1, 5145.0]",0,0.0003267027024648829
"Absolute Eosinophil Count_(-0.001, 0.1]",0,0.014988245204096817
"Absolute Eosinophil Count_(0.1, 0.2]",0,0.006646798644910736
"Absolute Eosinophil Count_(0.2, 0.3]",0,0.0029802076005188203
"Absolute Eosinophil Count_(0.3, 2.7]",0,0.0026266421216600386
"Absolute Lymphocyte Count_(-0.001, 1.1]",0,0.004159048191734723
"Absolute Lymphocyte Count_(1.1, 1.5]",0,0.00672517036447759
"Absolute Lymphocyte Count_(1.5, 1.8]",0,0.004783702378493208
"Absolute Lymphocyte Count_(1.8, 2.4]",0,0.006950647152477102
"Absolute Lymphocyte Count_(2.4, 363.1]",0,0.004357241044397724
"Ast_(7.999, 19.0]",0,0.0060546823439817
"Ast_(19.0, 23.0]",0,0.007023740445443049
"Ast_(23.0, 27.0]",0,0.0077615802391139705
"Ast_(27.0, 34.0]",0,0.0053708710772433655
"Ast_(34.0, 2142.0]",0,0.005463125983136992
"Absolute Lymphocytes_(-0.001, 1.0]",0,0.00020151348920773807
"Absolute Lymphocytes_(1.0, 1.4]",0,0.00030340778147126
"Absolute Lymphocytes_(1.4, 1.82]",0,0.00015691679395227185
"Absolute Lymphocytes_(1.82, 3.096]",0,0.0001298594302888027
"Absolute Lymphocytes_(3.096, 71101.0]",0,0.0004255078543724027
"Alt_(0.999, 17.0]",0,0.007311837209677234
"Alt_(17.0, 21.0]",0,0.005559957836809322
"Alt_(21.0, 27.0]",0,0.006644150416672174
"Alt_(27.0, 37.0]",0,0.006516256709963944
"Alt_(37.0, 1631.0]",0,0.005634825713773545
"PULSE_(2.999, 64.0]",0,0.005322916965410219
"PULSE_(64.0, 71.0]",0,0.004675956534450244
"PULSE_(71.0, 78.0]",0,0.005911422534532355
"PULSE_(78.0, 86.0]",0,0.005569363435406547
"PULSE_(86.0, 150.0]",0,0.004238308973727036
"B-Type Natriuretic Peptide_(5.999, 18.0]",0,0.00014287031885009739
"B-Type Natriuretic Peptide_(18.0, 37.0]",0,0.00018471689401252267
"B-Type Natriuretic Peptide_(37.0, 69.4]",0,0.00020514697008921563
"B-Type Natriuretic Peptide_(69.4, 111.8]",0,0.00011550736829099387
"B-Type Natriuretic Peptide_(111.8, 1217.0]",0,8.810689765231714e-05
"Hemoglobin A1C_(3.899, 5.5]",0,0.001522361052212655
"Hemoglobin A1C_(5.5, 5.8]",0,0.001475868427456162
"Hemoglobin A1C_(5.8, 6.1]",0,0.0006074590765196716
"Hemoglobin A1C_(6.1, 7.2]",0,0.0015989317072849253
"Hemoglobin A1C_(7.2, 167.0]",0,0.0006222045163723099
"Absolute Monocyte Count_(-0.001, 0.4]",0,0.0061817269448489216
"Absolute Monocyte Count_(0.4, 0.5]",0,0.004958895615286707
"Absolute Monocyte Count_(0.5, 0.6]",0,0.005399463429917667
"Absolute Monocyte Count_(0.6, 0.8]",0,0.006485206783418094
"Absolute Monocyte Count_(0.8, 14.7]",0,0.003941576498207078
"Myelocytes._(-0.001, 1.0]",0,0.000301843705407105
"Myelocytes._(1.0, 12.0]",0,3.808061242067783e-05
"Potassium_(2.499, 4.0]",0,0.008649414156759587
"Potassium_(4.0, 4.3]",0,0.013474796980206444
"Potassium_(4.3, 4.4]",0,0.0033972943976129195
"Potassium_(4.4, 4.7]",0,0.010566262640269483
"Potassium_(4.7, 9.8]",0,0.004998847097562362
"Absolute Basophil Count_(-0.001, 0.1]",0,0.027648347326633394
"Absolute Basophil Count_(0.1, 8.8]",0,0.0
"Anion Gap_(-3.001, 6.0]",0,0.0006204320210070228
"Anion Gap_(6.0, 7.0]",0,0.0006438203218088907
"Anion Gap_(7.0, 8.0]",0,0.000414086375047507
"Anion Gap_(8.0, 10.0]",0,1.8012413756375217e-05
"Anion Gap_(10.0, 22.0]",0,0.0
"Alkaline Phosphatase_(14.999, 62.0]",0,0.005644223732570658
"Alkaline Phosphatase_(62.0, 75.0]",0,0.006935110346066121
"Alkaline Phosphatase_(75.0, 88.0]",0,0.006290318648947489
"Alkaline Phosphatase_(88.0, 106.0]",0,0.006707727711153064
"Alkaline Phosphatase_(106.0, 1821.0]",0,0.006294181622534051
"Calcium_(4.7989999999999995, 9.2]",0,0.008647966972457304
"Calcium_(9.2, 9.4]",0,0.007296319597355351
"Calcium_(9.4, 9.6]",0,0.007837789179860203
"Calcium_(9.6, 9.9]",0,0.009771753098708124
"Calcium_(9.9, 15.2]",0,0.007356486083446007
"Chol/Hdl Ratio_(1.499, 2.8]",0,0.0020627694758516683
"Chol/Hdl Ratio_(2.8, 3.4]",0,0.0029509018076950633
"Chol/Hdl Ratio_(3.4, 3.9]",0,0.0021350091290615937
"Chol/Hdl Ratio_(3.9, 4.6]",0,0.0024070899302999376
"Chol/Hdl Ratio_(4.6, 13.1]",0,0.0016006574889211892
"BMI_(1.489, 24.33]",0,0.004623199771659984
"BMI_(24.33, 27.173]",0,0.003906330918218962
"BMI_(27.173, 30.13]",0,0.005542640223459139
"BMI_(30.13, 34.4]",0,0.005987533971828581
"BMI_(34.4, 191.49]",0,0.005139895318242184
"BP_DIA_(-0.001, 63.0]",0,0.004982401630692239
"BP_DIA_(63.0, 70.0]",0,0.007169373573574679
"BP_DIA_(70.0, 75.0]",0,0.004580266887163823
"BP_DIA_(75.0, 82.0]",0,0.0049935987509331535
"BP_DIA_(82.0, 155.0]",0,0.004266613606282581
"HEIGHT_CM_(64.999, 160.02]",0,0.0051801795764598035
"HEIGHT_CM_(160.02, 167.64]",0,0.005051821696368161
"HEIGHT_CM_(167.64, 173.4]",0,0.004210580185786093
"HEIGHT_CM_(173.4, 180.34]",0,0.005079887614319483
"HEIGHT_CM_(180.34, 266.7]",0,0.0033063386154546415
"Low Density Lipoprotein Chol_(5.999, 75.2]",0,0.002096140328940574
"Low Density Lipoprotein Chol_(75.2, 95.0]",0,0.0021388968309380817
"Low Density Lipoprotein Chol_(95.0, 113.0]",0,0.001523237980004436
"Low Density Lipoprotein Chol_(113.0, 135.0]",0,0.0028383668264407975
"Low Density Lipoprotein Chol_(135.0, 285.0]",0,0.0024873992765550015
"TEMP_(73.999, 97.5]",0,0.002618286871986667
"TEMP_(97.5, 97.9]",0,0.006312698349385828
"TEMP_(97.9, 98.1]",0,0.0043780918040861976
"TEMP_(98.1, 98.4]",0,0.005672473339062668
"TEMP_(98.4, 118.76]",0,0.004445918431213824
"Triglycerides_(19.999, 82.0]",0,0.002024685131637161
"Triglycerides_(82.0, 109.0]",0,0.002720902053492172
