feature,factor,weight
Other specified diseases of anus and rectum (K6289),0,0.0
Malignant neoplasm of bladder (C67),0,0.0
"Spondylosis without myelopathy or radiculopathy, cervical region (M47812)",0,0.0
Hematuria (R31),0,0.0
Secondary malignant neoplasm of other and unspecified sites (C79),0,0.0
Emphysema (J43),0,6.309253138804712e-05
Diaphragmatic hernia without obstruction or gangrene (K449),0,0.00012566967340745522
Snoring (R0683),0,2.8684535195229546e-05
Conductive and sensorineural hearing loss (H90),0,0.0
Type 2 diabetes mellitus without complications (E119),0,0.0
Chronic sinusitis (J32),0,0.0
Actinic keratosis (L570),0,0.0
Type 2 diabetes mellitus (E11),0,0.0
"Major depressive disorder, single episode, unspecified (F329)",0,0.0
Unspecified mood [affective] disorder (F39),0,0.0
Gastro-esophageal reflux disease (K21),0,0.0
"Vomiting, unspecified (R1110)",0,0.0
Other and unspecified osteoarthritis (M19),0,0.0
Other amnesia (R413),0,5.274249263435377e-05
Other specified anxiety disorders (F418),0,0.0
"Other and unspecified soft tissue disorders, not elsewhere classified (M79)",0,0.0
Other abnormalities of gait and mobility (R2689),0,0.0
"Benign neoplasm of colon, unspecified (D126)",0,0.0
Other nontoxic goiter (E04),0,0.0
"Migraine, unspecified, not intractable, without status migrainosus (G43909)",0,0.0
"Hematuria, unspecified (R319)",0,0.0
Other symptoms and signs involving the circulatory and respiratory system (R09),0,0.0
Secondary malignant neoplasm of other specified sites (C7989),0,0.0
Pain in unspecified knee (M25569),0,0.0
Unspecified symptoms and signs involving the genitourinary system (R399),0,0.0
"Acute sinusitis, unspecified (J0190)",0,0.0
Right upper quadrant pain (R1011),0,0.0
Osteoarthritis of knee (M17),0,0.0
Shoulder lesions (M75),0,0.0
Other diseases of liver (K76),0,0.00013663435979954173
"Emphysema, unspecified (J439)",0,6.309253138804712e-05
Other disorders of external ear (H61),0,0.0
Voice and resonance disorders (R49),0,0.0
Purpura and other hemorrhagic conditions (D69),0,2.8303533429712822e-05
Abnormal tumor markers (R97),0,0.0
Aortic aneurysm and dissection (I71),0,0.0
Osteoporosis without current pathological fracture (M81),0,0.0
Disturbances of skin sensation (R20),0,7.899383839786585e-06
Dry eye syndrome of bilateral lacrimal glands (H04123),0,0.0
Diplopia (H532),0,0.0
Abnormal findings on diagnostic imaging of other specified body structures (R938),0,0.0
Malignant neoplasm of unspecified part of unspecified bronchus or lung (C3490),0,0.0
Prediabetes (R7303),0,0.0
"Osteoarthritis of hip, unspecified (M169)",0,0.0
"Fever, unspecified (R509)",0,0.0
Malignant neoplasm of unspecified site of unspecified female breast (C50919),0,0.0
"Preglaucoma, unspecified, bilateral (H40003)",0,4.199878205831204e-05
Acute sinusitis (J01),0,0.0
Other specified symptoms and signs involving the digestive system and abdomen (R198),0,1.9243733040619044e-06
Abnormal weight loss (R634),0,0.0
"Sleep apnea, unspecified (G4730)",0,0.0
Other visual disturbances (H538),0,0.00012254727253601126
Gross hematuria (R310),0,4.414562786112201e-05
Pain in unspecified limb (M79609),0,0.0
"Upper abdominal pain, unspecified (R1010)",0,0.0
Malignant neoplasm of bronchus and lung (C34),0,0.0
Anesthesia of skin (R200),0,2.4419327425264884e-05
Other specified diseases of intestine (K6389),0,0.0
"Hypotension, unspecified (I959)",0,0.0
"Rosacea, unspecified (L719)",0,0.0
Overweight (E663),0,0.0
"Chronic sinusitis, unspecified (J329)",0,0.0
Other abnormalities of breathing (R0689),0,0.0
Type 2 diabetes mellitus with diabetic polyneuropathy (E1142),0,0.0
Unspecified cataract (H269),0,0.0
Abnormalities of gait and mobility (R26),0,0.0
Other general symptoms and signs (R6889),0,0.0
Acute vaginitis (N760),0,0.0
Other viral agents as the cause of diseases classified elsewhere (B9789),0,0.0
Cough (R05),0,0.0
Pain in unspecified joint (M2550),0,0.0
Flatulence and related conditions (R14),0,0.0
Disorders of lacrimal system (H04),0,0.0
Other disorders of muscle (M62),0,0.0
Other diseases of digestive system (K92),0,2.457191623526331e-05
Other seborrheic keratosis (L821),0,0.0
Other abnormal immunological findings in serum (R76),0,0.0
"Edema, not elsewhere classified (R60)",0,4.333016549611895e-05
"Urinary tract infection, site not specified (N390)",0,0.0
"Sensorineural hearing loss, bilateral (H903)",0,0.0
Acute cystitis without hematuria (N3000),0,0.0
Dorsalgia (M54),0,0.0
Type 2 diabetes mellitus with hyperglycemia (E1165),0,0.0
Fever of other and unknown origin (R50),0,0.0
Other local infections of skin and subcutaneous tissue (L08),0,0.0
"Altered mental status, unspecified (R4182)",0,0.0
Abnormal electrocardiogram [ECG] [EKG] (R9431),0,0.0
"Dyspnea, unspecified (R0600)",0,4.854967653603243e-05
"Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck (C770)",0,0.0
"Vitamin D deficiency, unspecified (E559)",0,0.0
"Alcohol abuse, uncomplicated (F1010)",0,0.0
"Osteoarthritis of knee, unspecified (M179)",0,0.0
Viral warts (B07),0,0.0
Malignant neoplasm without specification of site (C80),0,0.0
"Elevated white blood cell count, unspecified (D72829)",0,0.0
Corns and callosities (L84),0,0.0
"Dorsalgia, unspecified (M549)",0,0.0
Other specified noninflammatory disorders of vagina (N898),0,0.0
Unspecified urinary incontinence (R32),0,0.0
"Dermatitis, unspecified (L309)",0,0.0
Pain in left hip (M25552),0,0.0
Seborrheic keratosis (L82),0,0.0
"Hemangioma and lymphangioma, any site (D18)",0,1.265676529367203e-05
Paresthesia of skin (R202),0,4.700206772863164e-05
"Pruritus, unspecified (L299)",0,6.30044993352438e-05
"Unspecified fall, initial encounter (W19XXXA)",0,0.0
"Neuralgia and neuritis, unspecified (M792)",0,0.0
Hypercalcemia (E8352),0,4.372050041595734e-05
"Abnormal blood-pressure reading, without diagnosis (R03)",0,0.0
Viral agents as the cause of diseases classified elsewhere (B97),0,0.0
Other symptoms and signs involving the nervous and musculoskeletal systems (R29),0,0.0
Tinea unguium (B351),0,0.0
Zoster [herpes zoster] (B02),0,2.7480800723139528e-05
Malignant neoplasm of breast (C50),0,0.0
Myositis (M60),0,0.0
Unspecified macular degeneration (H3530),0,0.0
Hyperesthesia (R203),0,0.0
Cervicalgia (M542),0,0.0
Other extrapyramidal and movement disorders (G25),0,4.504995465286198e-05
"Elevated blood-pressure reading, without diagnosis of hypertension (R030)",0,0.0
Frequency of micturition (R350),0,5.605912517930349e-06
Urge incontinence (N3941),0,0.0
Disorders of mineral metabolism (E83),0,4.372050041595732e-05
Dehydration (E860),0,0.0
"Constipation, unspecified (K5900)",0,0.0
Gastro-esophageal reflux disease without esophagitis (K219),0,0.0
Unspecified fall (W19),0,0.0
Pain in right knee (M25561),0,0.0
Other disorders of lung (J984),0,0.0
"Localized swelling, mass and lump, unspecified (R229)",0,0.0
Nontoxic multinodular goiter (E042),0,0.0
"Arthropathy, unspecified (M129)",0,0.0
Benign neoplasm of transverse colon (D123),0,0.0
Hypo-osmolality and hyponatremia (E871),0,0.0
"Enlarged lymph nodes, unspecified (R599)",0,0.0
"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease (I129)",0,0.0
Headache (R51),0,0.0
